"Cancer","0","2","4","6","8","10","12","14","16","18","Method","Age","Gender","Stratification","GenderAge","Database","CalenderYearGp"
"IncidentBreastCancer","74992","54652","39693","28250","19383","12465","7272","3635","1379","386","Kaplan-Meier","All","Both","None",NA,"CPRDGold","2000-2019"
"IncidentColorectalCancer","47453","25460","16463","10979","7148","4338","2377","1074","399","103","Kaplan-Meier","All","Both","None",NA,"CPRDGold","2000-2019"
"IncidentEsophagealCancer","13457","2601","1251","739","462","279","137","56","19","<5","Kaplan-Meier","All","Both","None",NA,"CPRDGold","2000-2019"
"IncidentHeadNeckCancer","10882","6146","4062","2717","1753","1044","558","270","92","29","Kaplan-Meier","All","Both","None",NA,"CPRDGold","2000-2019"
"IncidentLiverCancer","3348","585","268","131","71","33","17","<5","<5","0","Kaplan-Meier","All","Both","None",NA,"CPRDGold","2000-2019"
"IncidentLungCancer","39385","6398","2766","1441","801","398","195","95","35","7","Kaplan-Meier","All","Both","None",NA,"CPRDGold","2000-2019"
"IncidentPancreaticCancer","8875","789","315","186","107","70","34","14","<5","0","Kaplan-Meier","All","Both","None",NA,"CPRDGold","2000-2019"
"IncidentProstateCancer","57616","39711","27077","17961","11361","6720","3587","1517","450","91","Kaplan-Meier","All","Both","None",NA,"CPRDGold","2000-2019"
"IncidentStomachCancer","6664","1418","768","482","299","177","96","57","18","<5","Kaplan-Meier","All","Both","None",NA,"CPRDGold","2000-2019"
"IncidentBreastCancer","452","313","206","143","90","60","29","17","<5","<5","Kaplan-Meier","All","Male","Gender",NA,"CPRDGold","2000-2019"
"IncidentBreastCancer","74540","54339","39487","28107","19293","12405","7243","3618","1374","384","Kaplan-Meier","All","Female","Gender",NA,"CPRDGold","2000-2019"
"IncidentColorectalCancer","26315","14156","9056","6010","3878","2327","1294","597","222","54","Kaplan-Meier","All","Male","Gender",NA,"CPRDGold","2000-2019"
"IncidentColorectalCancer","21138","11304","7407","4969","3270","2011","1083","477","177","49","Kaplan-Meier","All","Female","Gender",NA,"CPRDGold","2000-2019"
"IncidentEsophagealCancer","9158","1805","836","495","305","184","90","40","15","<5","Kaplan-Meier","All","Male","Gender",NA,"CPRDGold","2000-2019"
"IncidentEsophagealCancer","4299","796","415","244","157","95","47","16","<5","0","Kaplan-Meier","All","Female","Gender",NA,"CPRDGold","2000-2019"
"IncidentHeadNeckCancer","7518","4217","2774","1862","1188","707","359","172","57","14","Kaplan-Meier","All","Male","Gender",NA,"CPRDGold","2000-2019"
"IncidentHeadNeckCancer","3364","1929","1288","855","565","337","199","98","35","15","Kaplan-Meier","All","Female","Gender",NA,"CPRDGold","2000-2019"
"IncidentLiverCancer","2359","433","182","85","45","19","10","<5","0","0","Kaplan-Meier","All","Male","Gender",NA,"CPRDGold","2000-2019"
"IncidentLiverCancer","989","152","86","46","26","14","7","<5","<5","0","Kaplan-Meier","All","Female","Gender",NA,"CPRDGold","2000-2019"
"IncidentLungCancer","21431","3101","1283","679","372","183","86","42","16","<5","Kaplan-Meier","All","Male","Gender",NA,"CPRDGold","2000-2019"
"IncidentLungCancer","17954","3297","1483","762","429","215","109","53","19","6","Kaplan-Meier","All","Female","Gender",NA,"CPRDGold","2000-2019"
"IncidentPancreaticCancer","4399","396","160","99","54","33","17","7","<5","0","Kaplan-Meier","All","Male","Gender",NA,"CPRDGold","2000-2019"
"IncidentPancreaticCancer","4476","393","155","87","53","37","17","7","0","0","Kaplan-Meier","All","Female","Gender",NA,"CPRDGold","2000-2019"
"IncidentStomachCancer","4190","868","463","299","180","108","59","35","11","<5","Kaplan-Meier","All","Male","Gender",NA,"CPRDGold","2000-2019"
"IncidentStomachCancer","2474","550","305","183","119","69","37","22","7","0","Kaplan-Meier","All","Female","Gender",NA,"CPRDGold","2000-2019"
"IncidentBreastCancer","257","168","117","74","58","32","25","12","<5","<5","Kaplan-Meier","<30","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentBreastCancer","2529","1879","1355","998","729","502","307","155","69","20","Kaplan-Meier","30-39","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentBreastCancer","10136","7956","6040","4434","3129","2078","1289","694","272","71","Kaplan-Meier","40-49","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentBreastCancer","18288","14297","10930","8228","5958","4073","2540","1367","538","167","Kaplan-Meier","50-59","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentBreastCancer","19438","15054","11413","8333","5791","3729","2109","993","372","98","Kaplan-Meier","60-69","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentBreastCancer","13379","9399","6631","4487","2864","1684","861","373","115","26","Kaplan-Meier","70-79","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentBreastCancer","8762","5077","2893","1577","816","363","140","41","8","<5","Kaplan-Meier","80-89","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentBreastCancer","2203","822","314","119","38","<5","<5","0","0","0","Kaplan-Meier",">=90","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentColorectalCancer","115","70","46","31","21","16","<5","<5","<5","0","Kaplan-Meier","<30","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentColorectalCancer","441","265","173","124","90","63","45","22","12","<5","Kaplan-Meier","30-39","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentColorectalCancer","1735","1050","706","524","372","250","162","82","31","9","Kaplan-Meier","40-49","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentColorectalCancer","5606","3482","2369","1672","1178","794","474","255","112","29","Kaplan-Meier","50-59","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentColorectalCancer","11883","7304","4960","3435","2344","1453","852","403","148","39","Kaplan-Meier","60-69","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentColorectalCancer","15278","8512","5585","3753","2384","1409","702","273","89","21","Kaplan-Meier","70-79","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentColorectalCancer","10697","4434","2473","1380","733","345","135","35","6","<5","Kaplan-Meier","80-89","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentColorectalCancer","1698","343","151","60","26","8","<5","0","0","0","Kaplan-Meier",">=90","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentEsophagealCancer","12","<5","<5","<5","<5","<5","<5","0","0","0","Kaplan-Meier","<30","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentEsophagealCancer","58","16","9","8","<5","<5","<5","0","0","0","Kaplan-Meier","30-39","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentEsophagealCancer","408","115","69","48","34","24","15","7","<5","0","Kaplan-Meier","40-49","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentEsophagealCancer","1758","461","243","161","101","67","37","21","7","<5","Kaplan-Meier","50-59","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentEsophagealCancer","3565","898","434","245","173","105","47","20","7","<5","Kaplan-Meier","60-69","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentEsophagealCancer","4288","820","397","234","134","72","33","8","<5","<5","Kaplan-Meier","70-79","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentEsophagealCancer","2848","265","89","41","14","8","<5","0","0","0","Kaplan-Meier","80-89","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentEsophagealCancer","520","21","6","0","0","0","0","0","0","0","Kaplan-Meier",">=90","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentHeadNeckCancer","84","59","32","23","16","6","<5","<5","<5","<5","Kaplan-Meier","<30","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentHeadNeckCancer","222","145","103","77","57","43","30","18","8","7","Kaplan-Meier","30-39","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentHeadNeckCancer","968","653","461","329","204","138","75","40","15","8","Kaplan-Meier","40-49","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentHeadNeckCancer","2618","1655","1158","805","553","345","186","100","35","7","Kaplan-Meier","50-59","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentHeadNeckCancer","3252","1871","1251","836","556","328","186","88","27","<5","Kaplan-Meier","60-69","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentHeadNeckCancer","2406","1257","788","498","297","151","64","17","<5","<5","Kaplan-Meier","70-79","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentHeadNeckCancer","1142","457","247","143","69","33","14","<5","0","0","Kaplan-Meier","80-89","Both","Age",NA,"CPRDGold","2000-2019"
