"Cancer","0","1","2","3","4","Method","Age","Gender","Stratification","GenderAge","Database","CalenderYearGp"
"IncidentBreastCancer","31738","22139","14579","8678","3951","Kaplan-Meier","All","Both","None",NA,"CPRDAurum","2000-2004"
"IncidentColorectalCancer","19395","11191","6888","3839","1733","Kaplan-Meier","All","Both","None",NA,"CPRDAurum","2000-2004"
"IncidentEsophagealCancer","5205","1573","625","289","109","Kaplan-Meier","All","Both","None",NA,"CPRDAurum","2000-2004"
"IncidentHeadNeckCancer","3812","2249","1359","800","332","Kaplan-Meier","All","Both","None",NA,"CPRDAurum","2000-2004"
"IncidentLiverCancer","721","173","74","45","18","Kaplan-Meier","All","Both","None",NA,"CPRDAurum","2000-2004"
"IncidentLungCancer","12684","3022","1168","501","195","Kaplan-Meier","All","Both","None",NA,"CPRDAurum","2000-2004"
"IncidentPancreaticCancer","3133","557","234","112","44","Kaplan-Meier","All","Both","None",NA,"CPRDAurum","2000-2004"
"IncidentProstateCancer","25099","17120","10993","6138","2469","Kaplan-Meier","All","Both","None",NA,"CPRDAurum","2000-2004"
"IncidentStomachCancer","3194","955","457","247","105","Kaplan-Meier","All","Both","None",NA,"CPRDAurum","2000-2004"
"IncidentBreastCancer","197","141","90","58","22","Kaplan-Meier","All","Male","Gender",NA,"CPRDAurum","2000-2004"
"IncidentBreastCancer","31541","21998","14489","8620","3929","Kaplan-Meier","All","Female","Gender",NA,"CPRDAurum","2000-2004"
"IncidentColorectalCancer","10618","6197","3776","2105","943","Kaplan-Meier","All","Male","Gender",NA,"CPRDAurum","2000-2004"
"IncidentColorectalCancer","8777","4994","3112","1734","790","Kaplan-Meier","All","Female","Gender",NA,"CPRDAurum","2000-2004"
"IncidentEsophagealCancer","3417","1058","415","179","66","Kaplan-Meier","All","Male","Gender",NA,"CPRDAurum","2000-2004"
"IncidentEsophagealCancer","1788","515","210","110","43","Kaplan-Meier","All","Female","Gender",NA,"CPRDAurum","2000-2004"
"IncidentHeadNeckCancer","2608","1538","937","548","224","Kaplan-Meier","All","Male","Gender",NA,"CPRDAurum","2000-2004"
"IncidentHeadNeckCancer","1204","711","422","252","108","Kaplan-Meier","All","Female","Gender",NA,"CPRDAurum","2000-2004"
"IncidentLiverCancer","464","119","46","26","12","Kaplan-Meier","All","Male","Gender",NA,"CPRDAurum","2000-2004"
"IncidentLiverCancer","257","54","28","19","6","Kaplan-Meier","All","Female","Gender",NA,"CPRDAurum","2000-2004"
"IncidentLungCancer","7578","1739","640","276","115","Kaplan-Meier","All","Male","Gender",NA,"CPRDAurum","2000-2004"
"IncidentLungCancer","5106","1283","528","225","80","Kaplan-Meier","All","Female","Gender",NA,"CPRDAurum","2000-2004"
"IncidentPancreaticCancer","1535","297","116","54","21","Kaplan-Meier","All","Male","Gender",NA,"CPRDAurum","2000-2004"
"IncidentPancreaticCancer","1598","260","118","58","23","Kaplan-Meier","All","Female","Gender",NA,"CPRDAurum","2000-2004"
"IncidentStomachCancer","1973","591","278","153","60","Kaplan-Meier","All","Male","Gender",NA,"CPRDAurum","2000-2004"
"IncidentStomachCancer","1221","364","179","94","45","Kaplan-Meier","All","Female","Gender",NA,"CPRDAurum","2000-2004"
"IncidentBreastCancer","71","51","33","18","11","Kaplan-Meier","<30","Both","Age",NA,"CPRDAurum","2000-2004"
"IncidentBreastCancer","1396","1005","664","389","167","Kaplan-Meier","30-39","Both","Age",NA,"CPRDAurum","2000-2004"
"IncidentBreastCancer","4213","3040","2049","1220","574","Kaplan-Meier","40-49","Both","Age",NA,"CPRDAurum","2000-2004"
"IncidentBreastCancer","8453","6224","4263","2612","1193","Kaplan-Meier","50-59","Both","Age",NA,"CPRDAurum","2000-2004"
"IncidentBreastCancer","7054","4931","3235","1942","934","Kaplan-Meier","60-69","Both","Age",NA,"CPRDAurum","2000-2004"
"IncidentBreastCancer","5789","4053","2705","1634","758","Kaplan-Meier","70-79","Both","Age",NA,"CPRDAurum","2000-2004"
"IncidentBreastCancer","3824","2386","1405","757","277","Kaplan-Meier","80-89","Both","Age",NA,"CPRDAurum","2000-2004"
"IncidentBreastCancer","938","449","225","106","37","Kaplan-Meier",">=90","Both","Age",NA,"CPRDAurum","2000-2004"
