"Cancer","0","1","2","3","4","Method","Age","Gender","Stratification","GenderAge","Database","CalenderYearGp"
"HeadNeckSubtypeCancerHypopharynx","176","83","45","25","11","Kaplan-Meier","All","Both","None",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerLarynx","1251","758","493","293","122","Kaplan-Meier","All","Both","None",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerNasalCavitySinus","79","39","23","10","6","Kaplan-Meier","All","Both","None",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerNasopharynx","136","78","44","19","10","Kaplan-Meier","All","Both","None",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerOralCavityIncidence","540","357","232","146","65","Kaplan-Meier","All","Both","None",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerOropharynx","561","297","166","95","34","Kaplan-Meier","All","Both","None",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerSalivaryGland","256","162","94","62","24","Kaplan-Meier","All","Both","None",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerTongueIncidence","626","364","208","121","51","Kaplan-Meier","All","Both","None",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerHypopharynx","133","65","37","20","11","Kaplan-Meier","All","Male","Gender",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerHypopharynx","43","18","8","<5","0","Kaplan-Meier","All","Female","Gender",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerLarynx","1011","612","408","250","100","Kaplan-Meier","All","Male","Gender",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerLarynx","240","146","85","43","22","Kaplan-Meier","All","Female","Gender",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerNasalCavitySinus","51","28","17","7","<5","Kaplan-Meier","All","Male","Gender",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerNasalCavitySinus","28","11","6","<5","<5","Kaplan-Meier","All","Female","Gender",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerNasopharynx","83","49","27","7","<5","Kaplan-Meier","All","Male","Gender",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerNasopharynx","53","29","17","12","6","Kaplan-Meier","All","Female","Gender",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerOralCavityIncidence","302","202","128","72","33","Kaplan-Meier","All","Male","Gender",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerOralCavityIncidence","238","155","104","74","32","Kaplan-Meier","All","Female","Gender",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerOropharynx","392","210","116","62","20","Kaplan-Meier","All","Male","Gender",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerOropharynx","169","87","50","33","14","Kaplan-Meier","All","Female","Gender",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerSalivaryGland","133","80","43","29","12","Kaplan-Meier","All","Male","Gender",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerSalivaryGland","123","82","51","33","12","Kaplan-Meier","All","Female","Gender",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerTongueIncidence","403","230","126","80","33","Kaplan-Meier","All","Male","Gender",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerTongueIncidence","223","134","82","41","18","Kaplan-Meier","All","Female","Gender",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerHypopharynx","0","0","0","0","0","Kaplan-Meier","<30","Both","Age",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerHypopharynx","6","<5","<5","<5","<5","Kaplan-Meier","30-39","Both","Age",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerHypopharynx","<5","<5","<5","<5","0","Kaplan-Meier","40-49","Both","Age",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerHypopharynx","44","20","13","<5","<5","Kaplan-Meier","50-59","Both","Age",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerHypopharynx","55","25","13","8","<5","Kaplan-Meier","60-69","Both","Age",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerHypopharynx","47","23","12","8","<5","Kaplan-Meier","70-79","Both","Age",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerHypopharynx","18","8","<5","<5","0","Kaplan-Meier","80-89","Both","Age",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerHypopharynx","<5","0","0","0","0","Kaplan-Meier",">=90","Both","Age",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerLarynx","<5","0","0","0","0","Kaplan-Meier","<30","Both","Age",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerLarynx","10","<5","<5","<5","0","Kaplan-Meier","30-39","Both","Age",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerLarynx","66","41","28","17","10","Kaplan-Meier","40-49","Both","Age",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerLarynx","261","176","115","68","28","Kaplan-Meier","50-59","Both","Age",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerLarynx","371","233","153","94","38","Kaplan-Meier","60-69","Both","Age",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerLarynx","380","224","145","81","34","Kaplan-Meier","70-79","Both","Age",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerLarynx","149","73","45","30","12","Kaplan-Meier","80-89","Both","Age",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerLarynx","13","6","<5","<5","0","Kaplan-Meier",">=90","Both","Age",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerNasalCavitySinus","0","0","0","0","0","Kaplan-Meier","<30","Both","Age",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerNasalCavitySinus","<5","<5","<5","<5","0","Kaplan-Meier","30-39","Both","Age",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerNasalCavitySinus","6","<5","<5","<5","<5","Kaplan-Meier","40-49","Both","Age",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerNasalCavitySinus","11","8","<5","<5","<5","Kaplan-Meier","50-59","Both","Age",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerNasalCavitySinus","24","7","<5","0","0","Kaplan-Meier","60-69","Both","Age",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerNasalCavitySinus","16","9","<5","<5","<5","Kaplan-Meier","70-79","Both","Age",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerNasalCavitySinus","13","6","<5","<5","<5","Kaplan-Meier","80-89","Both","Age",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerNasalCavitySinus","<5","<5","<5","0","0","Kaplan-Meier",">=90","Both","Age",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerNasopharynx","<5","<5","<5","<5","<5","Kaplan-Meier","<30","Both","Age",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerNasopharynx","10","7","<5","<5","<5","Kaplan-Meier","30-39","Both","Age",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerNasopharynx","22","11","7","<5","0","Kaplan-Meier","40-49","Both","Age",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerNasopharynx","40","27","12","6","<5","Kaplan-Meier","50-59","Both","Age",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerNasopharynx","24","12","8","<5","<5","Kaplan-Meier","60-69","Both","Age",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerNasopharynx","25","15","8","<5","<5","Kaplan-Meier","70-79","Both","Age",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerNasopharynx","9","<5","<5","0","0","Kaplan-Meier","80-89","Both","Age",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerNasopharynx","<5","<5","<5","0","0","Kaplan-Meier",">=90","Both","Age",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerOralCavityIncidence","8","7","<5","<5","0","Kaplan-Meier","<30","Both","Age",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerOralCavityIncidence","16","12","9","7","<5","Kaplan-Meier","30-39","Both","Age",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerOralCavityIncidence","51","40","28","19","<5","Kaplan-Meier","40-49","Both","Age",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerOralCavityIncidence","126","79","44","34","15","Kaplan-Meier","50-59","Both","Age",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerOralCavityIncidence","131","91","63","37","17","Kaplan-Meier","60-69","Both","Age",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerOralCavityIncidence","118","75","49","30","17","Kaplan-Meier","70-79","Both","Age",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerOralCavityIncidence","77","47","32","16","8","Kaplan-Meier","80-89","Both","Age",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerOralCavityIncidence","13","6","<5","<5","0","Kaplan-Meier",">=90","Both","Age",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerOropharynx","0","0","0","0","0","Kaplan-Meier","<30","Both","Age",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerOropharynx","8","7","<5","<5","0","Kaplan-Meier","30-39","Both","Age",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerOropharynx","83","51","27","18","8","Kaplan-Meier","40-49","Both","Age",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerOropharynx","193","114","64","31","12","Kaplan-Meier","50-59","Both","Age",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerOropharynx","140","73","42","25","7","Kaplan-Meier","60-69","Both","Age",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerOropharynx","101","40","24","14","6","Kaplan-Meier","70-79","Both","Age",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerOropharynx","29","10","<5","<5","<5","Kaplan-Meier","80-89","Both","Age",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerOropharynx","7","<5","0","0","0","Kaplan-Meier",">=90","Both","Age",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerSalivaryGland","6","<5","0","0","0","Kaplan-Meier","<30","Both","Age",NA,"CPRDAurum","2000-2004"
"HeadNeckSubtypeCancerSalivaryGland","17","14","8","6","<5","Kaplan-Meier","30-39","Both","Age",NA,"CPRDAurum","2000-2004"
