"records","n.max","n.start","events","rmean","se(rmean)","median","0.95LCL","0.95UCL","Method","Cancer","Gender","Age","Stratification","GenderAge","Database","CalenderYearGp"
93,93,93,31,2.91444119093388,0.267779693017417,3.06913073237509,1.98767967145791,NA,"Kaplan-Meier","HeadNeckSubtypeCancerHypopharynx","Both","All","None",NA,"CPRDGold","2000-2004"
457,457,457,125,3.44393193670439,0.114327293000472,NA,4.32854209445585,NA,"Kaplan-Meier","HeadNeckSubtypeCancerLarynx","Both","All","None",NA,"CPRDGold","2000-2004"
36,36,36,13,2.76606970592052,0.377371187948277,3.41409993155373,1.3223819301848,NA,"Kaplan-Meier","HeadNeckSubtypeCancerNasalCavitySinus","Both","All","None",NA,"CPRDGold","2000-2004"
49,49,49,22,2.22649088419207,0.347283981911688,1.20739219712526,0.832306639288159,NA,"Kaplan-Meier","HeadNeckSubtypeCancerNasopharynx","Both","All","None",NA,"CPRDGold","2000-2004"
301,301,301,60,3.90894519031791,0.119678501354667,NA,4.90622861054073,NA,"Kaplan-Meier","HeadNeckSubtypeCancerOralCavityIncidence","Both","All","None",NA,"CPRDGold","2000-2004"
212,212,212,70,3.10155779383478,0.170029137695637,3.7015742642026,3.24709103353867,NA,"Kaplan-Meier","HeadNeckSubtypeCancerOropharynx","Both","All","None",NA,"CPRDGold","2000-2004"
89,89,89,21,3.54989000229634,0.258404963354722,NA,4.02737850787132,NA,"Kaplan-Meier","HeadNeckSubtypeCancerSalivaryGland","Both","All","None",NA,"CPRDGold","2000-2004"
287,287,287,83,3.29509998237255,0.151541222739052,NA,3.1047227926078,NA,"Kaplan-Meier","HeadNeckSubtypeCancerTongueIncidence","Both","All","None",NA,"CPRDGold","2000-2004"
70,70,70,25,2.81572677436962,0.302134225973026,3.37029431895962,1.81519507186858,NA,"Kaplan-Meier","HeadNeckSubtypeCancerHypopharynx","Male","All","Gender",NA,"CPRDGold","2000-2004"
23,23,23,6,3.40144053863504,0.506885991096338,NA,1.39630390143737,NA,"Kaplan-Meier","HeadNeckSubtypeCancerHypopharynx","Female","All","Gender",NA,"CPRDGold","2000-2004"
370,370,370,93,3.57029954985671,0.12455700315336,NA,NA,NA,"Kaplan-Meier","HeadNeckSubtypeCancerLarynx","Male","All","Gender",NA,"CPRDGold","2000-2004"
87,87,87,32,2.93413059666246,0.267527843638491,3.39493497604381,2.02874743326489,NA,"Kaplan-Meier","HeadNeckSubtypeCancerLarynx","Female","All","Gender",NA,"CPRDGold","2000-2004"
25,25,25,8,2.95848483120044,0.438276681001688,3.41409993155373,1.3223819301848,NA,"Kaplan-Meier","HeadNeckSubtypeCancerNasalCavitySinus","Male","All","Gender",NA,"CPRDGold","2000-2004"
11,11,11,5,2.37263808516375,0.694295193910909,1.43737166324435,0.613278576317591,NA,"Kaplan-Meier","HeadNeckSubtypeCancerNasalCavitySinus","Female","All","Gender",NA,"CPRDGold","2000-2004"
31,31,31,17,1.84602799524491,0.408230140534931,0.922655715263518,0.591375770020534,NA,"Kaplan-Meier","HeadNeckSubtypeCancerNasopharynx","Male","All","Gender",NA,"CPRDGold","2000-2004"
18,18,18,5,3.0468301186987,0.54440967723196,2.89390828199863,2.89390828199863,NA,"Kaplan-Meier","HeadNeckSubtypeCancerNasopharynx","Female","All","Gender",NA,"CPRDGold","2000-2004"
165,165,165,34,3.85137290137054,0.166366647453486,NA,NA,NA,"Kaplan-Meier","HeadNeckSubtypeCancerOralCavityIncidence","Male","All","Gender",NA,"CPRDGold","2000-2004"
136,136,136,26,3.95345255897048,0.168712409294046,4.90622861054073,NA,NA,"Kaplan-Meier","HeadNeckSubtypeCancerOralCavityIncidence","Female","All","Gender",NA,"CPRDGold","2000-2004"
144,144,144,49,2.97905770199549,0.206935235867915,3.49623545516769,2.75427789185489,NA,"Kaplan-Meier","HeadNeckSubtypeCancerOropharynx","Male","All","Gender",NA,"CPRDGold","2000-2004"
68,68,68,21,3.35208550255058,0.288296777056666,NA,3.95345653661875,NA,"Kaplan-Meier","HeadNeckSubtypeCancerOropharynx","Female","All","Gender",NA,"CPRDGold","2000-2004"
44,44,44,15,2.98061185044776,0.381947626614291,1.89733059548255,1.65639972621492,NA,"Kaplan-Meier","HeadNeckSubtypeCancerSalivaryGland","Male","All","Gender",NA,"CPRDGold","2000-2004"
45,45,45,6,4.07749491938404,0.322184797951907,NA,4.02737850787132,NA,"Kaplan-Meier","HeadNeckSubtypeCancerSalivaryGland","Female","All","Gender",NA,"CPRDGold","2000-2004"
175,175,175,51,3.2667192969898,0.195508577970229,NA,2.71868583162218,NA,"Kaplan-Meier","HeadNeckSubtypeCancerTongueIncidence","Male","All","Gender",NA,"CPRDGold","2000-2004"
112,112,112,32,3.32638750036952,0.240379411878117,NA,2.80082135523614,NA,"Kaplan-Meier","HeadNeckSubtypeCancerTongueIncidence","Female","All","Gender",NA,"CPRDGold","2000-2004"
10,10,10,4,2.52066099540432,0.452318694069611,3.45516769336071,1.01574264202601,NA,"Kaplan-Meier","HeadNeckSubtypeCancerHypopharynx","Both",NA,"Age",NA,"CPRDGold","2000-2004"
22,22,22,6,3.247445382969,0.527681105674134,3.37029431895962,1.76591375770021,NA,"Kaplan-Meier","HeadNeckSubtypeCancerHypopharynx","Both",NA,"Age",NA,"CPRDGold","2000-2004"
35,35,35,12,2.44155762507576,0.451346521063539,2.6611909650924,0.692676249144422,NA,"Kaplan-Meier","HeadNeckSubtypeCancerHypopharynx","Both",NA,"Age",NA,"CPRDGold","2000-2004"
