"Cancer","0","1","2","3","4","Method","Age","Gender","Stratification","GenderAge","Database","CalenderYearGp"
"HeadNeckSubtypeCancerHypopharynx","93","48","25","14","<5","Kaplan-Meier","All","Both","None",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerLarynx","457","249","135","76","33","Kaplan-Meier","All","Both","None",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasalCavitySinus","36","14","8","6","<5","Kaplan-Meier","All","Both","None",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasopharynx","49","17","10","<5","<5","Kaplan-Meier","All","Both","None",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerOralCavityIncidence","301","196","126","73","24","Kaplan-Meier","All","Both","None",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerOropharynx","212","112","56","39","13","Kaplan-Meier","All","Both","None",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerSalivaryGland","89","46","25","16","<5","Kaplan-Meier","All","Both","None",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerTongueIncidence","287","144","74","39","12","Kaplan-Meier","All","Both","None",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerHypopharynx","70","36","19","9","<5","Kaplan-Meier","All","Male","Gender",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerHypopharynx","23","12","6","<5","<5","Kaplan-Meier","All","Female","Gender",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerLarynx","370","206","112","65","27","Kaplan-Meier","All","Male","Gender",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerLarynx","87","43","23","11","6","Kaplan-Meier","All","Female","Gender",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasalCavitySinus","25","10","7","<5","<5","Kaplan-Meier","All","Male","Gender",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasalCavitySinus","11","<5","<5","<5","<5","Kaplan-Meier","All","Female","Gender",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasopharynx","31","9","<5","0","0","Kaplan-Meier","All","Male","Gender",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasopharynx","18","8","7","<5","<5","Kaplan-Meier","All","Female","Gender",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerOralCavityIncidence","165","107","69","38","13","Kaplan-Meier","All","Male","Gender",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerOralCavityIncidence","136","89","57","35","11","Kaplan-Meier","All","Female","Gender",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerOropharynx","144","74","35","26","7","Kaplan-Meier","All","Male","Gender",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerOropharynx","68","38","21","13","6","Kaplan-Meier","All","Female","Gender",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerSalivaryGland","44","22","8","<5","<5","Kaplan-Meier","All","Male","Gender",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerSalivaryGland","45","24","17","11","<5","Kaplan-Meier","All","Female","Gender",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerTongueIncidence","175","89","40","23","8","Kaplan-Meier","All","Male","Gender",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerTongueIncidence","112","55","34","16","<5","Kaplan-Meier","All","Female","Gender",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerHypopharynx","0","0","0","0","0","Kaplan-Meier","<30","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerHypopharynx","0","0","0","0","0","Kaplan-Meier","30-39","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerHypopharynx","10","7","6","<5","0","Kaplan-Meier","40-49","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerHypopharynx","22","12","6","<5","<5","Kaplan-Meier","50-59","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerHypopharynx","35","13","6","<5","0","Kaplan-Meier","60-69","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerHypopharynx","20","14","6","<5","<5","Kaplan-Meier","70-79","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerHypopharynx","6","<5","<5","<5","0","Kaplan-Meier","80-89","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerHypopharynx","0","0","0","0","0","Kaplan-Meier",">=90","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerLarynx","<5","<5","0","0","0","Kaplan-Meier","<30","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerLarynx","<5","0","0","0","0","Kaplan-Meier","30-39","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerLarynx","22","11","6","<5","<5","Kaplan-Meier","40-49","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerLarynx","111","71","37","23","9","Kaplan-Meier","50-59","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerLarynx","138","76","41","18","10","Kaplan-Meier","60-69","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerLarynx","123","63","36","21","9","Kaplan-Meier","70-79","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerLarynx","55","26","15","11","<5","Kaplan-Meier","80-89","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerLarynx","<5","<5","0","0","0","Kaplan-Meier",">=90","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasalCavitySinus","0","0","0","0","0","Kaplan-Meier","<30","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasalCavitySinus","<5","<5","<5","<5","0","Kaplan-Meier","30-39","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasalCavitySinus","<5","<5","<5","<5","<5","Kaplan-Meier","40-49","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasalCavitySinus","6","<5","<5","<5","0","Kaplan-Meier","50-59","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasalCavitySinus","11","<5","<5","<5","<5","Kaplan-Meier","60-69","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasalCavitySinus","8","<5","<5","<5","<5","Kaplan-Meier","70-79","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasalCavitySinus","<5","0","0","0","0","Kaplan-Meier","80-89","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasalCavitySinus","<5","0","0","0","0","Kaplan-Meier",">=90","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasopharynx","0","0","0","0","0","Kaplan-Meier","<30","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasopharynx","<5","<5","0","0","0","Kaplan-Meier","30-39","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasopharynx","6","<5","<5","0","0","Kaplan-Meier","40-49","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasopharynx","14","<5","<5","<5","<5","Kaplan-Meier","50-59","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasopharynx","9","<5","<5","0","0","Kaplan-Meier","60-69","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasopharynx","13","<5","<5","<5","<5","Kaplan-Meier","70-79","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasopharynx","<5","<5","0","0","0","Kaplan-Meier","80-89","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasopharynx","<5","<5","<5","0","0","Kaplan-Meier",">=90","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerOralCavityIncidence","6","<5","<5","0","0","Kaplan-Meier","<30","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerOralCavityIncidence","10","9","7","7","<5","Kaplan-Meier","30-39","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerOralCavityIncidence","30","21","13","8","<5","Kaplan-Meier","40-49","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerOralCavityIncidence","66","44","27","19","6","Kaplan-Meier","50-59","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerOralCavityIncidence","71","48","31","18","6","Kaplan-Meier","60-69","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerOralCavityIncidence","62","39","25","13","<5","Kaplan-Meier","70-79","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerOralCavityIncidence","51","28","19","7","<5","Kaplan-Meier","80-89","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerOralCavityIncidence","<5","<5","<5","<5","<5","Kaplan-Meier",">=90","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerOropharynx","0","0","0","0","0","Kaplan-Meier","<30","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerOropharynx","<5","<5","<5","<5","0","Kaplan-Meier","30-39","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerOropharynx","26","14","7","<5","<5","Kaplan-Meier","40-49","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerOropharynx","72","40","15","9","<5","Kaplan-Meier","50-59","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerOropharynx","58","36","18","13","<5","Kaplan-Meier","60-69","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerOropharynx","31","15","11","8","<5","Kaplan-Meier","70-79","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerOropharynx","20","<5","<5","<5","<5","Kaplan-Meier","80-89","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerOropharynx","<5","<5","0","0","0","Kaplan-Meier",">=90","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerSalivaryGland","<5","<5","<5","<5","0","Kaplan-Meier","<30","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerSalivaryGland","7","6","<5","<5","<5","Kaplan-Meier","30-39","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerSalivaryGland","10","<5","<5","<5","0","Kaplan-Meier","40-49","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerSalivaryGland","12","8","7","<5","<5","Kaplan-Meier","50-59","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerSalivaryGland","18","9","6","<5","<5","Kaplan-Meier","60-69","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerSalivaryGland","25","12","6","<5","<5","Kaplan-Meier","70-79","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerSalivaryGland","10","<5","0","0","0","Kaplan-Meier","80-89","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerSalivaryGland","<5","<5","0","0","0","Kaplan-Meier",">=90","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerTongueIncidence","<5","<5","<5","<5","0","Kaplan-Meier","<30","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerTongueIncidence","11","7","<5","<5","0","Kaplan-Meier","30-39","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerTongueIncidence","39","21","11","<5","<5","Kaplan-Meier","40-49","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerTongueIncidence","92","48","24","15","<5","Kaplan-Meier","50-59","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerTongueIncidence","72","38","18","8","<5","Kaplan-Meier","60-69","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerTongueIncidence","35","16","7","<5","<5","Kaplan-Meier","70-79","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerTongueIncidence","31","9","6","<5","<5","Kaplan-Meier","80-89","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerTongueIncidence","<5","<5","<5","<5","0","Kaplan-Meier",">=90","Both","Age",NA,"CPRDGold","2000-2004"
"HeadNeckSubtypeCancerHypopharynx","0","0","0","0","0","Kaplan-Meier","18-29","Female","Age*Gender","Female_18-29","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerHypopharynx","0","0","0","0","0","Kaplan-Meier","30-39","Female","Age*Gender","Female_30-39","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerHypopharynx","<5","0","0","0","0","Kaplan-Meier","40-49","Female","Age*Gender","Female_40-49","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerHypopharynx","<5","<5","0","0","0","Kaplan-Meier","50-59","Female","Age*Gender","Female_50-59","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerHypopharynx","9","<5","<5","<5","0","Kaplan-Meier","60-69","Female","Age*Gender","Female_60-69","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerHypopharynx","7","6","<5","<5","<5","Kaplan-Meier","70-79","Female","Age*Gender","Female_70-79","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerHypopharynx","<5","0","0","0","0","Kaplan-Meier","80-89","Female","Age*Gender","Female_80-89","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerHypopharynx","0","0","0","0","0","Kaplan-Meier",">=90","Female","Age*Gender","Female_>=90","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerHypopharynx","0","0","0","0","0","Kaplan-Meier","18-29","Male","Age*Gender","Male_18-29","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerHypopharynx","0","0","0","0","0","Kaplan-Meier","30-39","Male","Age*Gender","Male_30-39","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerHypopharynx","9","7","6","<5","0","Kaplan-Meier","40-49","Male","Age*Gender","Male_40-49","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerHypopharynx","17","10","6","<5","<5","Kaplan-Meier","50-59","Male","Age*Gender","Male_50-59","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerHypopharynx","26","9","<5","<5","0","Kaplan-Meier","60-69","Male","Age*Gender","Male_60-69","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerHypopharynx","13","8","<5","0","0","Kaplan-Meier","70-79","Male","Age*Gender","Male_70-79","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerHypopharynx","<5","<5","<5","<5","0","Kaplan-Meier","80-89","Male","Age*Gender","Male_80-89","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerHypopharynx","0","0","0","0","0","Kaplan-Meier",">=90","Male","Age*Gender","Male_>=90","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerLarynx","0","0","0","0","0","Kaplan-Meier","18-29","Female","Age*Gender","Female_18-29","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerLarynx","<5","0","0","0","0","Kaplan-Meier","30-39","Female","Age*Gender","Female_30-39","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerLarynx","7","<5","<5","<5","0","Kaplan-Meier","40-49","Female","Age*Gender","Female_40-49","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerLarynx","23","12","7","<5","<5","Kaplan-Meier","50-59","Female","Age*Gender","Female_50-59","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerLarynx","16","9","<5","<5","<5","Kaplan-Meier","60-69","Female","Age*Gender","Female_60-69","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerLarynx","24","14","8","<5","<5","Kaplan-Meier","70-79","Female","Age*Gender","Female_70-79","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerLarynx","14","<5","<5","<5","0","Kaplan-Meier","80-89","Female","Age*Gender","Female_80-89","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerLarynx","<5","0","0","0","0","Kaplan-Meier",">=90","Female","Age*Gender","Female_>=90","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerLarynx","<5","<5","0","0","0","Kaplan-Meier","18-29","Male","Age*Gender","Male_18-29","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerLarynx","<5","0","0","0","0","Kaplan-Meier","30-39","Male","Age*Gender","Male_30-39","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerLarynx","15","6","<5","<5","<5","Kaplan-Meier","40-49","Male","Age*Gender","Male_40-49","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerLarynx","88","59","30","20","7","Kaplan-Meier","50-59","Male","Age*Gender","Male_50-59","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerLarynx","122","67","38","17","9","Kaplan-Meier","60-69","Male","Age*Gender","Male_60-69","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerLarynx","99","49","28","17","6","Kaplan-Meier","70-79","Male","Age*Gender","Male_70-79","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerLarynx","41","23","13","10","<5","Kaplan-Meier","80-89","Male","Age*Gender","Male_80-89","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerLarynx","<5","<5","0","0","0","Kaplan-Meier",">=90","Male","Age*Gender","Male_>=90","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasalCavitySinus","0","0","0","0","0","Kaplan-Meier","18-29","Female","Age*Gender","Female_18-29","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasalCavitySinus","<5","<5","0","0","0","Kaplan-Meier","30-39","Female","Age*Gender","Female_30-39","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasalCavitySinus","0","0","0","0","0","Kaplan-Meier","40-49","Female","Age*Gender","Female_40-49","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasalCavitySinus","<5","0","0","0","0","Kaplan-Meier","50-59","Female","Age*Gender","Female_50-59","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasalCavitySinus","<5","<5","0","0","0","Kaplan-Meier","60-69","Female","Age*Gender","Female_60-69","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasalCavitySinus","<5","<5","<5","<5","<5","Kaplan-Meier","70-79","Female","Age*Gender","Female_70-79","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasalCavitySinus","<5","0","0","0","0","Kaplan-Meier","80-89","Female","Age*Gender","Female_80-89","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasalCavitySinus","<5","0","0","0","0","Kaplan-Meier",">=90","Female","Age*Gender","Female_>=90","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasalCavitySinus","0","0","0","0","0","Kaplan-Meier","18-29","Male","Age*Gender","Male_18-29","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasalCavitySinus","<5","<5","<5","<5","0","Kaplan-Meier","30-39","Male","Age*Gender","Male_30-39","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasalCavitySinus","<5","<5","<5","<5","<5","Kaplan-Meier","40-49","Male","Age*Gender","Male_40-49","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasalCavitySinus","<5","<5","<5","<5","0","Kaplan-Meier","50-59","Male","Age*Gender","Male_50-59","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasalCavitySinus","8","<5","<5","<5","<5","Kaplan-Meier","60-69","Male","Age*Gender","Male_60-69","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasalCavitySinus","<5","<5","<5","<5","<5","Kaplan-Meier","70-79","Male","Age*Gender","Male_70-79","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasalCavitySinus","<5","0","0","0","0","Kaplan-Meier","80-89","Male","Age*Gender","Male_80-89","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasalCavitySinus","0","0","0","0","0","Kaplan-Meier",">=90","Male","Age*Gender","Male_>=90","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasopharynx","0","0","0","0","0","Kaplan-Meier","18-29","Female","Age*Gender","Female_18-29","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasopharynx","<5","<5","0","0","0","Kaplan-Meier","30-39","Female","Age*Gender","Female_30-39","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasopharynx","<5","<5","<5","0","0","Kaplan-Meier","40-49","Female","Age*Gender","Female_40-49","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasopharynx","6","<5","<5","<5","<5","Kaplan-Meier","50-59","Female","Age*Gender","Female_50-59","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasopharynx","<5","<5","<5","0","0","Kaplan-Meier","60-69","Female","Age*Gender","Female_60-69","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasopharynx","<5","<5","<5","<5","<5","Kaplan-Meier","70-79","Female","Age*Gender","Female_70-79","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasopharynx","<5","0","0","0","0","Kaplan-Meier","80-89","Female","Age*Gender","Female_80-89","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasopharynx","<5","<5","<5","0","0","Kaplan-Meier",">=90","Female","Age*Gender","Female_>=90","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasopharynx","0","0","0","0","0","Kaplan-Meier","18-29","Male","Age*Gender","Male_18-29","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasopharynx","<5","0","0","0","0","Kaplan-Meier","30-39","Male","Age*Gender","Male_30-39","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasopharynx","<5","0","0","0","0","Kaplan-Meier","40-49","Male","Age*Gender","Male_40-49","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasopharynx","8","<5","0","0","0","Kaplan-Meier","50-59","Male","Age*Gender","Male_50-59","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasopharynx","8","<5","<5","0","0","Kaplan-Meier","60-69","Male","Age*Gender","Male_60-69","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasopharynx","9","<5","<5","0","0","Kaplan-Meier","70-79","Male","Age*Gender","Male_70-79","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasopharynx","<5","<5","0","0","0","Kaplan-Meier","80-89","Male","Age*Gender","Male_80-89","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerNasopharynx","0","0","0","0","0","Kaplan-Meier",">=90","Male","Age*Gender","Male_>=90","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerOralCavityIncidence","<5","<5","<5","0","0","Kaplan-Meier","18-29","Female","Age*Gender","Female_18-29","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerOralCavityIncidence","<5","<5","<5","<5","0","Kaplan-Meier","30-39","Female","Age*Gender","Female_30-39","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerOralCavityIncidence","16","12","7","<5","<5","Kaplan-Meier","40-49","Female","Age*Gender","Female_40-49","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerOralCavityIncidence","28","17","11","9","<5","Kaplan-Meier","50-59","Female","Age*Gender","Female_50-59","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerOralCavityIncidence","32","25","18","12","<5","Kaplan-Meier","60-69","Female","Age*Gender","Female_60-69","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerOralCavityIncidence","22","15","8","<5","<5","Kaplan-Meier","70-79","Female","Age*Gender","Female_70-79","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerOralCavityIncidence","28","14","9","<5","<5","Kaplan-Meier","80-89","Female","Age*Gender","Female_80-89","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerOralCavityIncidence","<5","0","0","0","0","Kaplan-Meier",">=90","Female","Age*Gender","Female_>=90","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerOralCavityIncidence","<5","<5","<5","0","0","Kaplan-Meier","18-29","Male","Age*Gender","Male_18-29","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerOralCavityIncidence","<5","<5","<5","<5","<5","Kaplan-Meier","30-39","Male","Age*Gender","Male_30-39","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerOralCavityIncidence","14","9","6","<5","<5","Kaplan-Meier","40-49","Male","Age*Gender","Male_40-49","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerOralCavityIncidence","38","27","16","10","<5","Kaplan-Meier","50-59","Male","Age*Gender","Male_50-59","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerOralCavityIncidence","39","23","13","6","<5","Kaplan-Meier","60-69","Male","Age*Gender","Male_60-69","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerOralCavityIncidence","40","24","17","10","<5","Kaplan-Meier","70-79","Male","Age*Gender","Male_70-79","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerOralCavityIncidence","23","14","10","<5","<5","Kaplan-Meier","80-89","Male","Age*Gender","Male_80-89","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerOralCavityIncidence","<5","<5","<5","<5","<5","Kaplan-Meier",">=90","Male","Age*Gender","Male_>=90","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerOropharynx","0","0","0","0","0","Kaplan-Meier","18-29","Female","Age*Gender","Female_18-29","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerOropharynx","<5","<5","<5","<5","0","Kaplan-Meier","30-39","Female","Age*Gender","Female_30-39","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerOropharynx","6","<5","<5","<5","0","Kaplan-Meier","40-49","Female","Age*Gender","Female_40-49","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerOropharynx","21","16","<5","<5","<5","Kaplan-Meier","50-59","Female","Age*Gender","Female_50-59","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerOropharynx","13","9","<5","<5","<5","Kaplan-Meier","60-69","Female","Age*Gender","Female_60-69","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerOropharynx","12","<5","<5","<5","<5","Kaplan-Meier","70-79","Female","Age*Gender","Female_70-79","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerOropharynx","12","<5","<5","<5","<5","Kaplan-Meier","80-89","Female","Age*Gender","Female_80-89","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerOropharynx","<5","0","0","0","0","Kaplan-Meier",">=90","Female","Age*Gender","Female_>=90","CPRDGold","2000-2004"
"HeadNeckSubtypeCancerOropharynx","0","0","0","0","0","Kaplan-Meier","18-29","Male","Age*Gender","Male_18-29","CPRDGold","2000-2004"
